iter	Passed	Remaining
354	528830	29264446
355	529874	29238341
356	530780	29204820
357	532145	29196643
358	533201	29171609
359	534561	29163313
360	535572	29136060
361	537115	29137782
362	538746	29144241
363	540748	29170730
364	542035	29158514
365	544117	29189055
366	545661	29190651
367	546923	29177178
368	548228	29166068
369	549970	29178188
370	551619	29185294
371	553005	29178466
372	554862	29196503
373	555921	29172523
374	557479	29174764
375	558841	29166759
376	559928	29144500
377	561326	29138489
378	562447	29118182
379	564096	29125205
380	565482	29118615
381	566929	29115254
382	568423	29114253
383	569727	29103563
384	570730	29077588
385	572095	29070166
386	573701	29074940
387	574688	29048446
388	575859	29031318
389	577194	29022517
390	579112	29042993
391	580476	29035685
392	581803	29026494
393	583270	29024384
394	584968	29033667
395	586119	29015899
396	587423	29005719
397	589514	29034315
398	591069	29036498
399	592073	29011597
400	593396	29002420
401	594421	28978799
402	596390	29001159
403	597401	28976952
404	598410	28952727
405	599421	28928730
406	601000	28932182
407	602557	28934585
408	603566	28910693
409	605196	28916603
410	607575	28958135
411	608586	28934435
412	609707	28916090
413	611279	28919130
414	612748	28917309
415	613694	28890854
416	614977	28880323
417	615980	28856748
418	616890	28828955
419	618042	28812538
420	619598	28815027
421	620609	28792173
422	621815	28778444
423	623370	28780876
424	625622	28815426
425	626990	28809185
426	628738	28820392
427	629931	28806140
428	630944	28783718
429	632292	28776647
430	633304	28754374
431	634308	28731807
432	635778	28730421
433	637313	28731970
434	638737	28728509
435	640293	28730988
436	641674	28725583
437	643945	28759956
438	645409	28758210
439	647266	28773955
440	648279	28752155
441	649747	28750585
442	651729	28771705
443	653160	28768485
444	654843	28776308
445	655894	28756424
446	657327	28753307
447	658566	28741713
448	659951	28736569
449	661073	28719954
450	662312	28708536
451	664604	28742689
452	665956	28736098
453	667230	28726187
454	668788	28728502
455	669993	28715672
456	671114	28699331
457	672588	28698083
458	674067	28697073
459	675416	28690528
460	676880	28688862
461	677882	28667670
462	679439	28669980
463	681462	28691908
464	682767	28683575
465	683891	28667658
466	685687	28679951
467	687457	28691086
468	689085	28696232
469	690488	28692003
470	692791	28725092
471	693912	28709151
472	695047	28693840
473	696213	28679866
474	697941	28689062
475	699063	28673348
476	700462	28669045
477	701924	28667303
478	703333	28663402
479	704693	28657552
480	706119	28654354
481	707254	28639400
482	708810	28641524
483	710219	28637677
484	711558	28631051
485	712679	28615691
486	713953	28606513
487	716038	28629801
488	718187	28655531
489	719998	28667704
490	721818	28680158
491	723547	28688937
492	724712	28675407
493	725977	28665819
494	727582	28669677
495	728990	28665799
496	730466	28664551
497	731722	28654715
498	732890	28641484
499	734368	28640363
500	735672	28632488
501	737197	28633224
502	738286	28617051
503	739425	28602846
504	740454	28584492
505	741824	28579307
506	742913	28563356
507	744943	28583552
508	746000	28566393
509	747090	28550571
510	748927	28563320
511	750737	28574943
512	752578	28587723
513	754199	28592066
514	755701	28591917
515	757287	28594955
516	758429	28581185
517	759549	28566696
518	760749	28555225
519	761916	28542561
520	763638	28550695
521	765024	28546264
522	766499	28545147
523	768454	28561868
524	770750	28591160
525	771839	28575672
526	773122	28567375
527	774695	28569848
528	775844	28556637
529	777297	28554677
530	778683	28550262
